Kecamatan,Tahun,Total_Populasi,Total_Warga_Rentan,Total_Bantuan_PIP,Total_Pra_Sekolah,SD,Rasio_Warga_Rentan,Status_Resiko
BUAHBATU,2021,103434,27531.0,2301.0,46.0,14.0,26.61697314229364,Sedang
BUAHBATU,2022,104434,27940.0,1217.0,44.0,14.0,26.753739203707603,Sedang
BUAHBATU,2023,105966,28240.0,3799.0,49.0,14.0,26.65005756563426,Sedang
BUAHBATU,2024,107327,28515.0,627.0,50.0,14.0,26.56833788329125,Sedang
BUAHBATU,2025,108270,28435.0,627.0,49.0,14.0,26.2630460884825,Sedang
CIBEUNYING KALER,2015,66274,16949.59,1486.49,0.0,9.88,25.57502187886652,Sedang
CIBEUNYING KALER,2016,67212,16944.48,1503.83,0.0,10.24,25.21049812533476,Rendah
CIBEUNYING KALER,2017,68597,17118.01,1550.62,2.59,9.85,24.95445864979518,Rendah
CIBEUNYING KALER,2018,68382,17136.69,1516.23,7.8,10.01,25.060235149600768,Rendah
CIBEUNYING KALER,2019,69740,16981.62,1550.51,12.26,10.19,24.34989962718669,Rendah
CIBEUNYING KALER,2020,69917,16805.0,1204.0,0.0,10.0,24.03564226153868,Rendah
CIBEUNYING KALER,2021,70560,17550.0,1204.0,37.0,10.0,24.87244897959184,Rendah
CIBEUNYING KALER,2022,70662,17561.0,2391.0,32.0,10.0,24.852112875378563,Rendah
CIBEUNYING KALER,2023,71350,17430.0,2146.0,37.0,11.0,24.42887175893483,Rendah
CIBEUNYING KALER,2024,72038,17368.0,1290.0,35.0,10.0,24.10949776506844,Rendah
CIBEUNYING KALER,2025,72571,17534.0,1290.0,34.0,10.0,24.16116630610023,Rendah
CIBEUNYING KIDUL,2015,109267,30237.89,516.58,0.0,14.93,27.67339635937657,Tinggi
CIBEUNYING KIDUL,2016,109916,30571.07,871.87,0.0,15.45,27.8131209287092,Tinggi
CIBEUNYING KIDUL,2017,110267,30023.32,1186.37,0.0,15.31,27.227837884407847,Tinggi
CIBEUNYING KIDUL,2018,111855,30169.12,1585.56,5.75,15.39,26.97163291761656,Tinggi
CIBEUNYING KIDUL,2019,110916,29812.09,1917.15,15.77,15.49,26.87807890655992,Tinggi
CIBEUNYING KIDUL,2020,113110,28958.0,1951.0,0.0,16.0,25.60162673503669,Sedang
CIBEUNYING KIDUL,2021,113281,30500.0,1951.0,59.0,16.0,26.92419734995277,Tinggi
CIBEUNYING KIDUL,2022,113535,30198.0,4362.0,54.0,16.0,26.59796538512353,Sedang
CIBEUNYING KIDUL,2023,114444,30095.0,3141.0,59.0,16.0,26.296704064870152,Sedang
CIBEUNYING KIDUL,2024,115104,29339.0,3619.0,65.0,16.0,25.489122880177927,Sedang
CIBEUNYING KIDUL,2025,115891,28888.0,3619.0,64.0,17.0,24.92687093907206,Rendah
CIBIRU,2015,66865,19007.39,2785.92,0.0,13.02,28.426516114559185,Tinggi
CIBIRU,2016,67602,19188.29,2660.22,0.0,12.65,28.38420460933109,Tinggi
CIBIRU,2017,69913,19557.06,2626.41,0.0,13.39,27.973424112825946,Tinggi
CIBIRU,2018,71004,19866.54,2442.46,6.72,13.88,27.97946594558053,Tinggi
CIBIRU,2019,71592,19947.11,2346.75,13.67,14.26,27.86220527433233,Tinggi
CIBIRU,2020,73114,20074.0,1396.0,0.0,14.0,27.455754027956345,Tinggi
CIBIRU,2021,75279,21482.0,1396.0,48.0,15.0,28.536510846318365,Tinggi
CIBIRU,2022,76236,21756.0,3408.0,40.0,15.0,28.537698725011808,Tinggi
CIBIRU,2023,77397,21857.0,4107.0,51.0,15.0,28.240112665865603,Tinggi
CIBIRU,2024,78881,22124.0,856.0,50.0,15.0,28.047311773430867,Tinggi
CIBIRU,2025,79890,22131.0,856.0,48.0,16.0,27.701840030041307,Tinggi
CICENDO,2015,93525,23932.12,5278.75,0.0,28.12,25.5890082865544,Sedang
CICENDO,2016,93885,24273.45,4879.89,0.0,27.29,25.85444959258668,Sedang
CICENDO,2017,94484,23242.44,4789.59,0.0,26.86,24.599339570720968,Rendah
CICENDO,2018,94414,23971.35,4686.71,5.27,26.75,25.38961382845764,Sedang
CICENDO,2019,96200,23086.95,4606.93,11.21,27.62,23.99890852390853,Rendah
CICENDO,2020,96413,23315.0,4624.0,0.0,27.0,24.18242353209629,Rendah
CICENDO,2021,96309,23909.0,4624.0,40.0,27.0,24.825301892865674,Rendah
CICENDO,2022,96382,23630.0,2928.0,33.0,27.0,24.517026000705524,Rendah
CICENDO,2023,96963,23552.0,4033.0,43.0,27.0,24.289677505852747,Rendah
CICENDO,2024,97543,23444.0,3807.0,41.0,27.0,24.034528361850672,Rendah
CICENDO,2025,98014,23176.0,3807.0,41.0,27.0,23.64560164874406,Rendah
CIDADAP,2015,51077,13591.12,456.98,0.0,14.38,26.60908040801144,Sedang
CIDADAP,2016,51945,13796.64,619.38,0.0,14.94,26.56009240542882,Sedang
CIDADAP,2017,52411,13548.29,781.14,2.89,14.98,25.8500887218332,Sedang
CIDADAP,2018,52584,13729.28,914.97,6.39,14.88,26.109234748212383,Sedang
CIDADAP,2019,53365,14110.01,1114.82,9.95,14.99,26.44056966176333,Sedang
CIDADAP,2020,53960,13713.0,1045.0,0.0,15.0,25.413269088213493,Sedang
CIDADAP,2021,54448,14359.0,1045.0,28.0,15.0,26.3719512195122,Sedang
CIDADAP,2022,54680,14406.0,2350.0,27.0,14.0,26.34601316752012,Sedang
CIDADAP,2023,55251,14529.0,1909.0,27.0,15.0,26.29635662702937,Sedang
CIDADAP,2024,55944,14696.0,1795.0,26.0,15.0,26.269126269126268,Sedang
CIDADAP,2025,56456,14227.0,1795.0,26.0,15.0,25.20015587360068,Rendah
CINAMBO,2015,23521,6407.68,1261.62,0.0,1.51,27.24237915054632,Tinggi
CINAMBO,2016,23610,6595.57,1143.62,0.0,1.61,27.935493434985176,Tinggi
CINAMBO,2017,23993,6610.83,1038.21,0.0,1.71,27.553161338723797,Tinggi
CINAMBO,2018,24669,6730.28,981.14,0.0,1.8,27.282338157201348,Tinggi
CINAMBO,2019,24878,6793.5,846.18,3.43,1.97,27.307259425998875,Tinggi
CINAMBO,2020,25266,6843.0,578.0,0.0,2.0,27.0838280693422,Tinggi
CINAMBO,2021,25465,7118.0,578.0,19.0,2.0,27.95209110543884,Tinggi
CINAMBO,2022,25585,7148.0,855.0,13.0,3.0,27.93824506546805,Tinggi
CINAMBO,2023,26052,7326.0,348.0,19.0,2.0,28.120681713496086,Tinggi
CINAMBO,2024,26430,7310.0,157.0,19.0,2.0,27.6579644343549,Tinggi
CINAMBO,2025,26752,7355.0,157.0,23.0,3.0,27.49327153110048,Tinggi
COBLONG,2015,109288,29541.16,3550.84,0.0,22.11,27.03056145230949,Tinggi
COBLONG,2016,112124,30021.26,3408.43,0.0,21.73,26.77505262031322,Tinggi
COBLONG,2017,112142,29411.39,3547.76,0.21,21.88,26.226917657969363,Sedang
COBLONG,2018,112993,28955.26,3626.4,8.54,21.4,25.62571132725036,Sedang
COBLONG,2019,114035,29579.47,3482.67,17.09,21.91,25.938939799184464,Sedang
COBLONG,2020,114665,28302.0,2725.0,0.0,22.0,24.68233549906249,Rendah
COBLONG,2021,115061,29228.0,2725.0,58.0,22.0,25.402177975161,Sedang
COBLONG,2022,115273,29105.0,6203.0,53.0,22.0,25.248757297892823,Rendah
COBLONG,2023,116386,28533.0,3059.0,58.0,22.0,24.51583523791521,Rendah
COBLONG,2024,117378,28158.0,3105.0,59.0,22.0,23.98916321627562,Rendah
COBLONG,2025,118360,27790.0,3105.0,59.0,22.0,23.47921595133491,Rendah
GEDEBAGE,2015,35427,11879.43,1160.34,0.0,5.67,33.532136506054705,Tinggi
GEDEBAGE,2016,36994,11711.12,1096.31,0.0,5.71,31.656809212304697,Tinggi
GEDEBAGE,2017,38182,11750.7,1053.36,0.0,6.05,30.775496307160445,Tinggi
GEDEBAGE,2018,38887,11708.41,986.13,3.86,6.15,30.108802427546483,Tinggi
GEDEBAGE,2019,40539,11882.45,925.35,8.42,6.64,29.311157157305317,Tinggi
GEDEBAGE,2020,40398,11347.0,558.0,0.0,7.0,28.088024159611862,Tinggi
GEDEBAGE,2021,41298,11944.0,558.0,31.0,7.0,28.921497409075496,Tinggi
GEDEBAGE,2022,42071,12078.0,1556.0,24.0,7.0,28.708611632716124,Tinggi
GEDEBAGE,2023,43026,12102.0,910.0,31.0,8.0,28.12717891507461,Tinggi
GEDEBAGE,2024,43893,11503.0,393.0,31.0,8.0,26.20691226391452,Sedang
GEDEBAGE,2025,44558,11560.0,393.0,31.0,8.0,25.943713811212355,Sedang
KIARACONDONG,2015,127567,35041.82,910.89,0.0,15.2,27.469345520393208,Tinggi
KIARACONDONG,2016,128726,34891.67,1106.49,0.0,15.88,27.105378866740203,Tinggi
KIARACONDONG,2017,129593,35157.11,1245.5,0.76,15.98,27.128864984991477,Tinggi
KIARACONDONG,2018,129104,35422.63,1441.63,8.04,16.78,27.437283120584954,Tinggi
KIARACONDONG,2019,130102,35728.85,1635.07,15.77,16.26,27.462183517547768,Tinggi
KIARACONDONG,2020,130347,34460.0,2266.0,0.0,17.0,26.43712551880749,Sedang
KIARACONDONG,2021,131313,36675.0,2266.0,54.0,17.0,27.929451006374084,Tinggi
KIARACONDONG,2022,131413,36804.0,1025.0,38.0,17.0,28.00636162327928,Tinggi
KIARACONDONG,2023,132008,36967.0,1796.0,54.0,17.0,28.00360584207018,Tinggi
KIARACONDONG,2024,132583,36428.0,2911.0,53.0,18.0,27.47561904618239,Tinggi
KIARACONDONG,2025,133291,35749.0,2911.0,49.0,18.0,26.82026543427538,Tinggi
LENGKONG,2015,69650,16191.99,2654.57,0.0,21.45,23.247652548456568,Rendah
LENGKONG,2016,69970,16191.98,2472.06,0.0,22.25,23.141317707588964,Rendah
LENGKONG,2017,69944,16439.19,2387.62,0.0,22.63,23.50335983072172,Rendah
LENGKONG,2018,70273,16534.8,2238.61,4.64,22.45,23.529378281843663,Rendah
LENGKONG,2019,70974,16619.36,2102.4,10.9,21.27,23.416124214501085,Rendah
LENGKONG,2020,71448,16527.0,1693.0,0.0,23.0,23.131508229761504,Rendah
LENGKONG,2021,71196,17201.0,1693.0,39.0,22.0,24.160065172200685,Rendah
LENGKONG,2022,71000,17451.0,2111.0,30.0,22.0,24.57887323943661,Rendah
LENGKONG,2023,71455,17610.0,1706.0,40.0,22.0,24.644881393884265,Rendah
LENGKONG,2024,71966,17547.0,1124.0,39.0,23.0,24.382347219520327,Rendah
LENGKONG,2025,72099,17280.0,1124.0,39.0,23.0,23.96704531269505,Rendah
MANDALAJATI,2015,65159,17880.39,1676.41,0.0,13.55,27.441166991513064,Tinggi
MANDALAJATI,2016,66449,18416.07,1705.89,0.0,13.57,27.714593146623727,Tinggi
MANDALAJATI,2017,67319,19012.01,1641.63,0.0,13.43,28.24167025653976,Tinggi
MANDALAJATI,2018,68994,19464.04,1621.73,4.78,14.25,28.21120677160333,Tinggi
MANDALAJATI,2019,70530,20479.61,1616.47,9.97,14.06,29.03673614064937,Tinggi
MANDALAJATI,2020,71403,20264.0,1181.0,0.0,14.0,28.379759954063555,Tinggi
MANDALAJATI,2021,72949,21506.0,1181.0,38.0,14.0,29.48087019698693,Tinggi
MANDALAJATI,2022,73956,21904.0,2301.0,31.0,14.0,29.61761047109092,Tinggi
MANDALAJATI,2023,75109,22120.0,2461.0,39.0,14.0,29.45053189364789,Tinggi
MANDALAJATI,2024,76639,22904.0,1086.0,38.0,14.0,29.885567400409712,Tinggi
MANDALAJATI,2025,77542,23067.0,1086.0,39.0,14.0,29.747749606664776,Tinggi
PANYILEUKAN,2015,37508,10014.92,582.98,0.0,7.61,26.700757171803343,Sedang
PANYILEUKAN,2016,37578,10050.14,588.74,0.0,7.99,26.744744265261588,Sedang
PANYILEUKAN,2017,37963,10176.62,607.04,0.0,8.04,26.806680188604695,Tinggi
PANYILEUKAN,2018,38803,10365.34,635.09,3.89,8.12,26.71272839728887,Sedang
PANYILEUKAN,2019,38790,10402.86,623.76,8.01,8.34,26.818406805877803,Tinggi
PANYILEUKAN,2020,39634,10040.0,576.0,0.0,8.0,25.331785840440023,Sedang
PANYILEUKAN,2021,40374,10696.0,576.0,28.0,9.0,26.49229702283648,Sedang
PANYILEUKAN,2022,40772,10841.0,734.0,23.0,9.0,26.58932600804474,Sedang
PANYILEUKAN,2023,41224,10897.0,962.0,28.0,9.0,26.43363089462449,Sedang
PANYILEUKAN,2024,41722,10732.0,607.0,28.0,9.0,25.72264033363693,Sedang
PANYILEUKAN,2025,42353,10717.0,607.0,28.0,9.0,25.303992633343565,Sedang
RANCASARI,2015,77950,20416.33,1636.57,0.0,6.51,26.191571520205265,Sedang
RANCASARI,2016,80204,21153.1,1588.39,0.0,6.88,26.374120991471745,Sedang
RANCASARI,2017,81022,21356.88,1513.46,0.0,6.97,26.35935918639382,Sedang
RANCASARI,2018,81522,21348.06,1444.18,5.35,7.76,26.18686980201663,Sedang
RANCASARI,2019,82331,21865.99,1362.77,11.75,7.79,26.558635264967023,Sedang
RANCASARI,2020,83904,21327.0,952.0,0.0,8.0,25.4183352402746,Sedang
RANCASARI,2021,85642,22805.0,952.0,41.0,9.0,26.628289857780064,Sedang
RANCASARI,2022,86725,23281.0,1590.0,37.0,9.0,26.84462381089651,Tinggi
RANCASARI,2023,87863,23139.0,2126.0,43.0,9.0,26.335317482899512,Sedang
RANCASARI,2024,89042,23135.0,574.0,40.0,10.0,25.98212079692729,Sedang
RANCASARI,2025,90079,23140.0,574.0,44.0,10.0,25.68856226201445,Sedang
REGOL,2015,80094,20784.03,3028.74,0.0,22.38,25.949546782530525,Sedang
REGOL,2016,79506,20574.38,2851.53,0.0,22.12,25.87777023117752,Sedang
REGOL,2017,79956,20544.3,2635.04,0.0,22.25,25.69450697883836,Sedang
REGOL,2018,79572,20214.01,2581.0,4.18,22.23,25.40342080128688,Sedang
REGOL,2019,79389,19929.6,2348.09,10.83,21.58,25.10372973585761,Rendah
REGOL,2020,80515,19325.0,2122.0,0.0,22.0,24.001738806433583,Rendah
REGOL,2021,80961,20067.0,2122.0,44.0,22.0,24.786008077963466,Rendah
REGOL,2022,80609,19805.0,1505.0,31.0,22.0,24.56921683682964,Rendah
REGOL,2023,81161,19640.0,2623.0,45.0,22.0,24.198814701642416,Rendah
REGOL,2024,81580,19248.0,1345.0,44.0,22.0,23.5940181417014,Rendah
REGOL,2025,81879,18752.0,1345.0,45.0,22.0,22.902087226272915,Rendah
SUKAJADI,2015,99287,26356.64,1596.3,0.0,24.11,26.545912355091804,Sedang
SUKAJADI,2016,99129,26261.39,1815.98,0.0,23.6,26.49213650899333,Sedang
SUKAJADI,2017,100052,26381.52,1951.03,0.0,24.01,26.367808739455484,Sedang
SUKAJADI,2018,100091,26789.27,2090.02,1.5,23.29,26.764913928325225,Sedang
SUKAJADI,2019,102104,26439.94,2293.72,7.34,24.28,25.895106949776697,Sedang
SUKAJADI,2020,101740,26086.0,2153.0,0.0,23.0,25.63986632592884,Sedang
SUKAJADI,2021,102766,27300.0,2153.0,32.0,22.0,26.565206391218886,Sedang
SUKAJADI,2022,103066,27148.0,3618.0,25.0,22.0,26.34040323676092,Sedang
SUKAJADI,2023,103878,27088.0,3500.0,33.0,22.0,26.076743872619808,Sedang
SUKAJADI,2024,104338,26986.0,2915.0,33.0,21.0,25.86401886177615,Sedang
SUKAJADI,2025,104894,26878.0,2915.0,37.0,21.0,25.62396323907945,Sedang
SUKASARI,2015,75268,18532.43,1802.11,0.0,21.18,24.6219243237498,Rendah
